id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,clockSec
40181004358,58,"{'id': '155', 'text': 'Defensive Rebound'}",Jeremiah Fears defensive rebound,6,10,1,7:45,False,0,{'id': '3'},[{'athlete': {'id': '5144091'}}],2025-11-09T01:19:14Z,False,"{'x': 34, 'y': 24}",0,465.0
40181004359,59,"{'id': '63', 'text': 'Lost Ball Turnover'}",Trey Murphy III lost ball turnover (De'Aaron Fox steals),6,10,1,7:30,False,0,{'id': '3'},"[{'athlete': {'id': '4397688'}}, {'athlete': {'id': '4066259'}}]",2025-11-09T01:19:30Z,False,"{'x': 45, 'y': 4}",0,450.0
40181004363,63,"{'id': '45', 'text': 'Personal Foul'}",Trey Murphy III personal foul,6,10,1,7:30,False,0,{'id': '3'},[{'athlete': {'id': '4397688'}}],2025-11-09T01:19:49Z,False,"{'x': 43, 'y': 12}",0,450.0
40181004365,65,"{'id': '584', 'text': 'Substitution'}",Karlo Matkovic enters the game for Kevon Looney,6,10,1,7:30,False,0,{'id': '3'},"[{'athlete': {'id': '4997538'}}, {'athlete': {'id': '3155535'}}]",2025-11-09T01:20:08Z,False,"{'x': -214748340, 'y': -214748365}",0,450.0
40181004367,67,"{'id': '114', 'text': 'Turnaround Jump Shot'}",Harrison Barnes makes 5-foot two point shot (Stephon Castle assists),6,12,1,7:17,True,2,{'id': '24'},"[{'athlete': {'id': '6578'}}, {'athlete': {'id': '4845367'}}]",2025-11-09T01:20:22Z,True,"{'x': 26, 'y': 5}",2,437.0
40181004368,68,"{'id': '139', 'text': 'Hook Driving Bank'}",Karlo Matkovic makes 3-foot two point shot (Herbert Jones assists),8,12,1,7:00,True,2,{'id': '3'},"[{'athlete': {'id': '4997538'}}, {'athlete': {'id': '4277813'}}]",2025-11-09T01:20:40Z,True,"{'x': 28, 'y': 2}",2,420.0
40181004369,69,"{'id': '9', 'text': 'Defensive Goaltending'}",Victor Wembanyama defensive goaltending violation,8,12,1,7:00,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2025-11-09T01:20:47Z,False,"{'x': -214748340, 'y': -214748365}",0,420.0
40181004370,70,"{'id': '63', 'text': 'Lost Ball Turnover'}",Victor Wembanyama lost ball turnover (Herbert Jones steals),8,12,1,6:44,False,0,{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '4277813'}}]",2025-11-09T01:21:08Z,False,"{'x': 7, 'y': 20}",0,404.0
40181004372,72,"{'id': '113', 'text': 'Running Jump Shot'}",Jeremiah Fears misses 25-foot three point shot,8,12,1,6:40,False,0,{'id': '3'},[{'athlete': {'id': '5144091'}}],2025-11-09T01:21:12Z,True,"{'x': 49, 'y': 9}",3,400.0
40181004373,73,"{'id': '155', 'text': 'Defensive Rebound'}",Victor Wembanyama defensive rebound,8,12,1,6:35,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2025-11-09T01:21:17Z,False,"{'x': 49, 'y': 9}",0,395.0
40181004374,74,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Victor Wembanyama misses driving floating jump shot,8,12,1,6:25,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2025-11-09T01:21:27Z,True,"{'x': 24, 'y': 3}",2,385.0
40181004375,75,"{'id': '155', 'text': 'Defensive Rebound'}",Karlo Matkovic defensive rebound,8,12,1,6:23,False,0,{'id': '3'},[{'athlete': {'id': '4997538'}}],2025-11-09T01:21:29Z,False,"{'x': 24, 'y': 3}",0,383.0
40181004376,76,"{'id': '129', 'text': 'Running Finger Roll Layup'}",Jeremiah Fears makes two point shot (Trey Murphy III assists),10,12,1,6:17,True,2,{'id': '3'},"[{'athlete': {'id': '5144091'}}, {'athlete': {'id': '4397688'}}]",2025-11-09T01:21:35Z,True,"{'x': 23, 'y': 2}",2,377.0
40181004378,78,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Stephon Castle makes 8-foot two point shot,10,14,1,5:55,True,2,{'id': '24'},[{'athlete': {'id': '4845367'}}],2025-11-09T01:21:57Z,True,"{'x': 25, 'y': 8}",2,355.0
40181004379,79,"{'id': '151', 'text': 'Cutting Dunk Shot'}",Karlo Matkovic makes 1-foot dunk (Jeremiah Fears assists),12,14,1,5:32,True,2,{'id': '3'},"[{'athlete': {'id': '4997538'}}, {'athlete': {'id': '5144091'}}]",2025-11-09T01:22:20Z,True,"{'x': 26, 'y': 2}",2,332.0
40181004381,81,"{'id': '92', 'text': 'Jump Shot'}",Stephon Castle misses 26-foot three point jumper,12,14,1,5:10,False,0,{'id': '24'},[{'athlete': {'id': '4845367'}}],2025-11-09T01:22:42Z,True,"{'x': 8, 'y': 20}",3,310.0
40181004382,82,"{'id': '155', 'text': 'Defensive Rebound'}",Karlo Matkovic defensive rebound,12,14,1,5:06,False,0,{'id': '3'},[{'athlete': {'id': '4997538'}}],2025-11-09T01:22:46Z,False,"{'x': 8, 'y': 20}",0,306.0
40181004383,83,"{'id': '131', 'text': 'Pullup Jump Shot'}",Jeremiah Fears misses 19-foot pullup jump shot,12,14,1,5:01,False,0,{'id': '3'},[{'athlete': {'id': '5144091'}}],2025-11-09T01:22:50Z,True,"{'x': 16, 'y': 18}",2,301.0
40181004384,84,"{'id': '155', 'text': 'Defensive Rebound'}",Victor Wembanyama defensive rebound,12,14,1,4:58,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2025-11-09T01:22:53Z,False,"{'x': 16, 'y': 18}",0,298.0
40181004385,85,"{'id': '146', 'text': 'Running Pullup Jump Shot'}",De'Aaron Fox misses running pullup jump shot,12,14,1,4:54,False,0,{'id': '24'},[{'athlete': {'id': '4066259'}}],2025-11-09T01:22:58Z,True,"{'x': 7, 'y': 19}",3,294.0
40181004386,86,"{'id': '155', 'text': 'Defensive Rebound'}",Trey Murphy III defensive rebound,12,14,1,4:52,False,0,{'id': '3'},[{'athlete': {'id': '4397688'}}],2025-11-09T01:23:00Z,False,"{'x': 7, 'y': 19}",0,292.0
40181004387,87,"{'id': '92', 'text': 'Jump Shot'}",Herbert Jones misses 24-foot three point jumper,12,14,1,4:44,False,0,{'id': '3'},[{'athlete': {'id': '4277813'}}],2025-11-09T01:23:07Z,True,"{'x': 49, 'y': 6}",3,284.0
40181004388,88,"{'id': '155', 'text': 'Defensive Rebound'}",Victor Wembanyama defensive rebound,12,14,1,4:42,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2025-11-09T01:23:09Z,False,"{'x': 49, 'y': 6}",0,282.0
40181004389,89,"{'id': '92', 'text': 'Jump Shot'}",Victor Wembanyama misses 26-foot three point jumper,12,14,1,4:34,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2025-11-09T01:23:18Z,True,"{'x': 24, 'y': 26}",3,274.0
40181004390,90,"{'id': '156', 'text': 'Offensive Rebound'}",Spurs offensive team rebound,12,14,1,4:33,False,0,{'id': '24'},,2025-11-09T01:23:19Z,False,"{'x': 24, 'y': 26}",0,273.0
40181004391,91,"{'id': '43', 'text': 'Loose Ball Foul'}",Herbert Jones loose ball foul,12,14,1,4:33,False,0,{'id': '3'},[{'athlete': {'id': '4277813'}}],2025-11-09T01:23:24Z,False,"{'x': 28, 'y': 2}",0,273.0
40181004393,93,"{'id': '584', 'text': 'Substitution'}",Jeremy Sochan enters the game for Victor Wembanyama,12,14,1,4:33,False,0,{'id': '24'},"[{'athlete': {'id': '4610139'}}, {'athlete': {'id': '5104157'}}]",2025-11-09T01:23:34Z,False,"{'x': -214748340, 'y': -214748365}",0,273.0
40181004394,94,"{'id': '584', 'text': 'Substitution'}",Julian Champagnie enters the game for De'Aaron Fox,12,14,1,4:33,False,0,{'id': '24'},"[{'athlete': {'id': '4592479'}}, {'athlete': {'id': '4066259'}}]",2025-11-09T01:23:34Z,False,"{'x': -214748340, 'y': -214748365}",0,273.0
40181004395,95,"{'id': '584', 'text': 'Substitution'}",Jose Alvarado enters the game for Jeremiah Fears,12,14,1,4:33,False,0,{'id': '3'},"[{'athlete': {'id': '4277869'}}, {'athlete': {'id': '5144091'}}]",2025-11-09T01:23:34Z,False,"{'x': -214748340, 'y': -214748365}",0,273.0
40181004396,96,"{'id': '584', 'text': 'Substitution'}",Derik Queen enters the game for Herbert Jones,12,14,1,4:33,False,0,{'id': '3'},"[{'athlete': {'id': '4869780'}}, {'athlete': {'id': '4277813'}}]",2025-11-09T01:23:34Z,False,"{'x': -214748340, 'y': -214748365}",0,273.0
40181004397,97,"{'id': '584', 'text': 'Substitution'}",Jordan Hawkins enters the game for Saddiq Bey,12,14,1,4:33,False,0,{'id': '3'},"[{'athlete': {'id': '4683750'}}, {'athlete': {'id': '4397136'}}]",2025-11-09T01:23:34Z,False,"{'x': -214748340, 'y': -214748365}",0,273.0
401810043103,103,"{'id': '92', 'text': 'Jump Shot'}",Harrison Barnes makes 23-foot three point jumper (Julian Champagnie assists),12,17,1,4:23,True,3,{'id': '24'},"[{'athlete': {'id': '6578'}}, {'athlete': {'id': '4592479'}}]",2025-11-09T01:24:00Z,True,"{'x': 1, 'y': -1}",3,263.0
401810043105,105,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Derik Queen makes 12-foot two point shot,14,17,1,4:01,True,2,{'id': '3'},[{'athlete': {'id': '4869780'}}],2025-11-09T01:24:23Z,True,"{'x': 33, 'y': 9}",2,241.0
401810043106,106,"{'id': '92', 'text': 'Jump Shot'}",Devin Vassell makes 25-foot three point jumper (Jeremy Sochan assists),14,20,1,3:51,True,3,{'id': '24'},"[{'athlete': {'id': '4395630'}}, {'athlete': {'id': '4610139'}}]",2025-11-09T01:24:34Z,True,"{'x': 39, 'y': 22}",3,231.0
401810043108,108,"{'id': '110', 'text': 'Driving Layup Shot'}",Jose Alvarado misses driving layup,14,20,1,3:27,False,0,{'id': '3'},[{'athlete': {'id': '4277869'}}],2025-11-09T01:24:57Z,True,"{'x': 27, 'y': 2}",2,207.0
401810043109,109,"{'id': '155', 'text': 'Defensive Rebound'}",Jeremy Sochan defensive rebound,14,20,1,3:25,False,0,{'id': '24'},[{'athlete': {'id': '4610139'}}],2025-11-09T01:24:59Z,False,"{'x': 27, 'y': 2}",0,205.0
401810043110,110,"{'id': '127', 'text': 'Layup Running Reverse'}",Jeremy Sochan makes two point shot (Stephon Castle assists),14,22,1,3:22,True,2,{'id': '24'},"[{'athlete': {'id': '4610139'}}, {'athlete': {'id': '4845367'}}]",2025-11-09T01:25:02Z,True,"{'x': 25, 'y': 1}",2,202.0
