id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,wallclock,shootingPlay,coordinate,team,participants,clockSec
401705041490,490,"{'id': '92', 'text': 'Jump Shot'}",Julian Champagnie misses 22-foot three point jumper,87,90,3,41.0,False,0,2025-01-04T03:42:14Z,True,"{'x': 2, 'y': 3}",{'id': '24'},[{'athlete': {'id': '4592479'}}],41.0
401705041491,491,"{'id': '155', 'text': 'Defensive Rebound'}",Michael Porter Jr. defensive rebound,87,90,3,38.2,False,0,2025-01-04T03:42:16Z,False,"{'x': 2, 'y': 3}",{'id': '7'},[{'athlete': {'id': '4278104'}}],38.2
401705041492,492,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Jamal Murray misses 12-foot two point shot,87,90,3,17.1,False,0,2025-01-04T03:42:38Z,True,"{'x': 14, 'y': 4}",{'id': '7'},[{'athlete': {'id': '3936299'}}],17.1
401705041493,493,"{'id': '155', 'text': 'Defensive Rebound'}",Tre Jones defensive rebound,87,90,3,15.1,False,0,2025-01-04T03:42:40Z,False,"{'x': 14, 'y': 4}",{'id': '24'},[{'athlete': {'id': '4395626'}}],15.1
401705041494,494,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Devin Vassell misses driving floating jump shot,87,90,3,0.0,False,0,2025-01-04T03:42:56Z,True,"{'x': 22, 'y': 17}",{'id': '24'},[{'athlete': {'id': '4395630'}}],0.0
401705041495,495,"{'id': '156', 'text': 'Offensive Rebound'}",Spurs offensive team rebound,87,90,3,0.0,False,0,2025-01-04T03:42:56Z,False,"{'x': 22, 'y': 17}",{'id': '24'},,0.0
401705041496,496,"{'id': '412', 'text': 'End Period'}",End of the 3rd Quarter,87,90,3,0.0,False,0,2025-01-04T03:43:03Z,False,"{'x': -214748340, 'y': -214748365}",,,0.0
401705041497,497,"{'id': '584', 'text': 'Substitution'}",Christian Braun enters the game for Julian Strawther,87,90,4,12:00,False,0,2025-01-04T03:45:20Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '7'},"[{'athlete': {'id': '4431767'}}, {'athlete': {'id': '4432181'}}]",720.0
401705041498,498,"{'id': '584', 'text': 'Substitution'}",DeAndre Jordan enters the game for Nikola Jokic,87,90,4,12:00,False,0,2025-01-04T03:45:20Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '7'},"[{'athlete': {'id': '3442'}}, {'athlete': {'id': '3112335'}}]",720.0
401705041499,499,"{'id': '584', 'text': 'Substitution'}",Harrison Barnes enters the game for Zach Collins,87,90,4,12:00,False,0,2025-01-04T03:45:20Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '24'},"[{'athlete': {'id': '6578'}}, {'athlete': {'id': '4066650'}}]",720.0
401705041500,500,"{'id': '584', 'text': 'Substitution'}",Victor Wembanyama enters the game for Devin Vassell,87,90,4,12:00,False,0,2025-01-04T03:45:20Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '24'},"[{'athlete': {'id': '5104157'}}, {'athlete': {'id': '4395630'}}]",720.0
401705041501,501,"{'id': '584', 'text': 'Substitution'}",Stephon Castle enters the game for Julian Champagnie,87,90,4,12:00,False,0,2025-01-04T03:45:20Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '24'},"[{'athlete': {'id': '4845367'}}, {'athlete': {'id': '4592479'}}]",720.0
401705041508,508,"{'id': '114', 'text': 'Turnaround Jump Shot'}",Harrison Barnes makes 6-foot two point shot,89,90,4,11:38,True,2,2025-01-04T03:45:59Z,True,"{'x': 25, 'y': 7}",{'id': '24'},[{'athlete': {'id': '6578'}}],698.0
401705041509,509,"{'id': '9', 'text': 'Defensive Goaltending'}",DeAndre Jordan defensive goaltending violation,89,90,4,11:38,False,0,2025-01-04T03:46:03Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '7'},[{'athlete': {'id': '3442'}}],698.0
401705041510,510,"{'id': '45', 'text': 'Personal Foul'}",Stephon Castle personal foul,89,90,4,11:32,False,0,2025-01-04T03:46:19Z,False,"{'x': 19, 'y': 29}",{'id': '24'},[{'athlete': {'id': '4845367'}}],692.0
